prodcode,dmdcode,therapyevents,gemscriptcode,productname,drugsubstancename,substancestrength,formulation,routeofadministration,bnfcode,bnfheader,databasebuild
20577,2.24015E+17,2045,83660020,Calcort 6mg Tablet (Shire Pharmaceuticals Ltd),Deflazacort,6mg,Tablet,Oral,06030200/08020200,Glucocorticoid Therapy/Corticosteroids And Other Immunosuppressants,Februar 2009
21833,6.935E+15,140,48880020,Decortisyl 5mg Tablet (Roussel Laboratories Ltd),Prednisone,5mg,Tablet,Oral,01050200/06030200,Corticosteroids In Chronic Bowel Problems/Glucocorticoid Therapy,Februar 2009
23210,6.245E+15,20,48788020,Cortistab 5mg Tablet (Waymade Healthcare Plc),Cortisone Acetate,5mg,Tablet,Oral,06030100/06030200,Replacement Corticosteroids For Endocrine Conditions/Glucocorticoid Therapy,Februar 2009
29112,3.96021E+15,83,83661020,Calcort 30mg tablets (Shire Pharmaceuticals Ltd),Deflazacort,30mg,Tablet,Oral,00000000,Unknown,Februar 2009
41335,3.75641E+15,495,97523020,Calcort 6mg tablets (Sanofi),Deflazacort,6mg,Tablet,Oral,06030200,Glucocorticoid Therapy,Februar 2010
43544,2.9825E+16,2,51727020,Prednisone 5mg Tablet (Knoll Ltd),Prednisone,5mg,Tablet,Oral,01050200/06030200,Corticosteroids In Chronic Bowel Problems/Glucocorticoid Therapy,September 2010
44723,1.78738E+16,625,98893020,Prednisone 5mg modified-release tablets,Prednisone,5mg,Modified-release tablet,Oral,06030200,Glucocorticoid Therapy,Februar 2011
44802,1.78739E+16,58,98899020,Lodotra 5mg modified-release tablets (Napp Pharmaceuticals Ltd),Prednisone,5mg,Modified-release tablet,Oral,06030200,Glucocorticoid Therapy,MÃ¤rz 2011
53143,3.66961E+15,0,6565020,Cortisone 25mg tablets (A A H Pharmaceuticals Ltd),Cortisone acetate,25mg,Tablet,Oral,06030200,Glucocorticoid Therapy,Januar 2013
53705,1.44835E+17,0,67162020,Cortisone acetate 5mg Capsule (Martindale Pharmaceuticals Ltd),Cortisone acetate,5mg,Capsule,Oral,06030100/06030200,Replacement Corticosteroids For Endocrine Conditions/Glucocorticoid Therapy,Februar 2013
53953,2.14964E+16,1589,46191020,Hydrocortisone 5mg modified-release tablets,Hydrocortisone,5mg,Modified-release tablet,Oral,06030200,Glucocorticoid Therapy,MÃ¤rz 2013
54794,2.14963E+16,404,46189020,Hydrocortisone 20mg modified-release tablets,Hydrocortisone,20mg,Modified-release tablet,Oral,06030200,Glucocorticoid Therapy,April 2013
57931,1.83943E+16,0,78292020,Hydrocortisone 20mg tablets (Teva UK Ltd),Hydrocortisone,20mg,Tablet,Oral,06030200,Glucocorticoid Therapy,Dezember 2013
58061,374072009,3,9811020,Prednisone 50mg tablets,Prednisone,50mg,Tablet,Oral,06030200,Glucocorticoid Therapy,Dezember 2013
58592,2.14949E+16,370,46190020,Plenadren 20mg modified-release tablets (Shire Pharmaceuticals Ltd),Hydrocortisone,20mg,Modified-release tablet,Oral,06030200,Glucocorticoid Therapy,Januar 2014
59418,2.14946E+16,192,46192020,Plenadren 5mg modified-release tablets (Shire Pharmaceuticals Ltd),Hydrocortisone,5mg,Modified-release tablet,Oral,06030200,Glucocorticoid Therapy,April 2014
62656,3.1195E+16,1,51888020,Prednisone 5mg Tablet (Hillcross Pharmaceuticals Ltd),Prednisone,5mg,Tablet,Oral,01050200/06030200,Corticosteroids In Chronic Bowel Problems/Glucocorticoid Therapy,MÃ¤rz 2015
64787,1.79739E+16,10,77481020,Hydrocortisone 10mg tablets (Almus Pharmaceuticals Ltd),Hydrocortisone,10mg,Tablet,Oral,06030200,Glucocorticoid Therapy,November 2015
65984,1.36617E+16,23,75399020,Hydrocortisone 10mg tablets (Accord Healthcare Ltd),Hydrocortisone,10mg,Tablet,Oral,06030200,Glucocorticoid Therapy,April 2016
66287,3.2072E+16,159,62215021,Dexamethasone 8mg soluble tablets sugar free,Dexamethasone sodium phosphate,8mg,Soluble tablet,Oral,06030200/64090000,Glucocorticoid Therapy/Diagnostic Test Of Adrenocortical Insufficiency,Juni 2016
66327,1.36619E+16,1,75402020,Hydrocortisone 20mg tablets (Accord Healthcare Ltd),Hydrocortisone,20mg,Tablet,Oral,06030200,Glucocorticoid Therapy,Juni 2016
66666,1.83923E+16,0,78289020,Hydrocortisone 10mg tablets (Teva UK Ltd),Hydrocortisone,10mg,Tablet,Oral,06030200,Glucocorticoid Therapy,Juli 2016
66724,2.45805E+16,1,26700021,Dexamethasone 10mg capsules,Dexamethasone,10mg,Capsule,Oral,03020000/04065300/06030200,Corticosteroids (For Respiratory Conditions)/Products Used Against Nausea And Vertigo - Cytotoxic Chemotherapy/Glucocorticoid Therapy,Juli 2016
68860,3.24013E+16,1,65922021,Dexamethasone 8mg soluble tablets sugar free (A A H Pharmaceuticals Ltd),Dexamethasone sodium phosphate,8mg,Soluble tablet,Oral,06030200/64090000,Glucocorticoid Therapy/Diagnostic Test Of Adrenocortical Insufficiency,Februar 2017
70893,3.47968E+16,10,78467021,Dexamethasone 40mg tablets,Dexamethasone,40mg,Tablet,Oral,08020200,Corticosteroids And Other Immunosuppressants,Dezember 2017
73216,3.55741E+16,151,81384021,Dexamethasone 8mg tablets,Dexamethasone,8mg,Tablet,Oral,06030200,Glucocorticoid Therapy,September 2018
76671,3.56976E+16,5,82222021,Alkindi 5mg granules in capsules for opening (Diurnal Ltd),Hydrocortisone,5mg,Granules,Oral,06030200,Glucocorticoid Therapy,Juli 2019
77646,8.58151E+15,30,20237020,Hydrocortisone 25mg/5ml oral suspension,Hydrocortisone,5mg/1ml,Oral suspension,Oral,06030200,Glucocorticoid Therapy,August 2019
77994,3.69177E+16,7,86533021,Hydventia 10mg tablets (OcXia),Hydrocortisone,10mg,Tablet,Oral,06030200,Glucocorticoid Therapy,September 2019
78839,3.30379E+16,1,70319021,Deflazacort 22.75mg/1ml oral suspension,Deflazacort,22.75mg/1ml,Oral suspension,Oral,06030200,Glucocorticoid Therapy,November 2019
186,325365005,1275,62323020,Dexamethasone 500micrograms/5ml oral solution,Dexamethasone,100microgram/1ml,Oral solution,Oral,03020000/04065300/06030200,Corticosteroids (For Respiratory Conditions)/Products Used Against Nausea And Vertigo - Cytotoxic Chemotherapy/Glucocorticoid Therapy,Februar 2009
1280,325356003,300698,62322020,Dexamethasone 2mg tablets,Dexamethasone,2mg,Tablet,Oral,06030200/64090000,Glucocorticoid Therapy/Diagnostic Test Of Adrenocortical Insufficiency,Februar 2009
1971,3.69481E+15,24515,54445020,Betnesol 500microgram soluble tablets (Focus Pharmaceuticals Ltd),Betamethasone sodium phosphate,500microgram,Soluble tablet,Oral,06030200,Glucocorticoid Therapy,Februar 2009
2044,1.00105E+17,515,3256007,PREDNISONE 2.5 MG TAB,,,,,00000000,Unknown,Februar 2009
2130,325412002,2695,64573020,Methylprednisolone 4mg tablets,Methylprednisolone,4mg,Tablet,Oral,06030200,Glucocorticoid Therapy,Februar 2009
3557,418349006,4569,59228020,Prednisone 1mg tablets,Prednisone,1mg,Tablet,Oral,06030200,Glucocorticoid Therapy,Februar 2009
4779,325355004,101671,62321020,Dexamethasone 500microgram tablets,Dexamethasone,500microgram,Tablet,Oral,06030200/64090000,Glucocorticoid Therapy/Diagnostic Test Of Adrenocortical Insufficiency,Februar 2009
4943,3.70842E+16,25508,75320020,Dexamethasone 2mg/5ml oral solution sugar free,Dexamethasone sodium phosphate,400microgram/1ml,Oral solution,Oral,03020000/04065300/06030200,Corticosteroids (For Respiratory Conditions)/Products Used Against Nausea And Vertigo - Cytotoxic Chemotherapy/Glucocorticoid Therapy,Februar 2009
5157,1.96715E+17,869,75321020,Dexamethasone 2mg/5ml oral solution,Dexamethasone,2mg/5ml,Oral Solution,Oral,06030200,Glucocorticoid Therapy,Februar 2009
7286,325344004,39067,75121020,Betamethasone 500microgram soluble tablets sugar free,Betamethasone sodium phosphate,500microgram,Soluble tablet,Oral,06030200,Glucocorticoid Therapy,Februar 2009
9375,325476008,1733,83656020,Deflazacort 1mg tablets,Deflazacort,1mg,Tablet,Oral,06030200,Glucocorticoid Therapy,Februar 2009
9994,3.28691E+15,565,57978020,Decadron 500microgram tablets (Merck Sharp & Dohme Ltd),Dexamethasone,500microgram,Tablet,Oral,06030200/64090000,Glucocorticoid Therapy/Diagnostic Test Of Adrenocortical Insufficiency,Februar 2009
10683,4.05121E+15,1917,64589020,Medrone 2mg tablets (Pfizer Ltd),Methylprednisolone,2mg,Tablet,Oral,06030200,Glucocorticoid Therapy,Februar 2009
10684,325411009,1675,64572020,Methylprednisolone 2mg tablets,Methylprednisolone,2mg,Tablet,Oral,06030200,Glucocorticoid Therapy,Februar 2009
10864,325345003,9736,64150020,Betamethasone 500microgram tablets,Betamethasone,500microgram,Tablet,Oral,06030200,Glucocorticoid Therapy,Februar 2009
11149,3.80431E+15,3651,48403020,Betnelan 500microgram tablets (Focus Pharmaceuticals Ltd),Betamethasone,500microgram,Tablet,Oral,06030200,Glucocorticoid Therapy,Februar 2009
15555,4.05161E+15,2330,64590020,Medrone 4mg tablets (Pfizer Ltd),Methylprednisolone,4mg,Tablet,Oral,06030200,Glucocorticoid Therapy,Februar 2009
15617,5.3565E+16,1406,54732020,Ledercort 4mg Tablet (Wyeth Pharmaceuticals),Triamcinolone Acetonide,4mg,Tablet,Oral,06030200,Glucocorticoid Therapy,Februar 2009
17101,1.16745E+17,15,3817007,DEXAMETHASONE 750 MCG TAB,,,,,00000000,Unknown,Februar 2009
19908,1.44845E+17,211,67163020,Triamcinolone 2mg Tablet,Triamcinolone Acetonide,2mg,Tablet,Oral,06030200,Glucocorticoid Therapy,Februar 2009
21218,3.85161E+15,421,78819020,Dexsol 2mg/5ml oral solution (Rosemont Pharmaceuticals Ltd),Dexamethasone sodium phosphate,400microgram/1ml,Oral solution,Oral,03020000/04065300/06030200,Corticosteroids (For Respiratory Conditions)/Products Used Against Nausea And Vertigo - Cytotoxic Chemotherapy/Glucocorticoid Therapy,Februar 2009
21465,1.80635E+17,7,6354007,BETAMETHASONE .1 MG TAB,,,,,00000000,Unknown,Februar 2009
21903,4.1195E+16,61,53177020,Oradexon-organon 2mg Tablet (Organon Laboratories Ltd),Dexamethasone,2mg,Tablet,Oral,06030200,Glucocorticoid Therapy,Februar 2009
22555,3.85071E+15,420,83662020,Calcort 1mg tablets (Shire Pharmaceuticals Ltd),Deflazacort,1mg,Tablet,Oral,06030200,Glucocorticoid Therapy,Februar 2009
23111,1.44855E+17,348,67164020,Triamcinolone 4mg Tablet,Triamcinolone Acetonide,4mg,Tablet,Oral,06030200,Glucocorticoid Therapy,Februar 2009
23788,8.7135E+16,59,2796007,CORTISONE ACETATE 2.5 MG TAB,,,,,00000000,Unknown,Februar 2009
24014,5.3555E+16,826,54731020,Ledercort 2mg Tablet (Wyeth Pharmaceuticals),Triamcinolone Acetonide,2mg,Tablet,Oral,06030200,Glucocorticoid Therapy,Februar 2009
28615,7.0935E+16,1,2259007,METHYLPREDNISOLONE L/A 4 MG CAP,,,,,00000000,Unknown,Februar 2009
34801,6.1165E+16,2,55666020,Dexamethasone 0.5mg/5ml Oral solution (Rosemont Pharmaceuticals Ltd),Dexamethasone,100microgram/1ml,Oral solution,Oral,06030200,Glucocorticoid Therapy,Februar 2009
34880,3.29141E+15,255,53490020,Dexamethasone 2mg tablets (Aspen Pharma Trading Ltd),Dexamethasone,2mg,Tablet,Oral,06030200/64090000,Glucocorticoid Therapy/Diagnostic Test Of Adrenocortical Insufficiency,Februar 2009
34915,3.28781E+15,35,53489020,Dexamethasone 500microgram tablets (Organon Laboratories Ltd),Dexamethasone,500microgram,Tablet,Oral,06030200/64090000,Glucocorticoid Therapy/Diagnostic Test Of Adrenocortical Insufficiency,Februar 2009
36055,1.91525E+17,2,74310020,Dexamethasone 2mg Tablet (Hillcross Pharmaceuticals Ltd),Dexamethasone,2mg,Tablet,Oral,06030200,Glucocorticoid Therapy,Februar 2009
38022,8.58111E+15,1011,94691020,Hydrocortisone 10mg/5ml oral suspension,Hydrocortisone,2mg/1ml,Oral suspension,Oral,06030200,Glucocorticoid Therapy,Februar 2009
44380,1.78728E+16,189,98889020,Prednisone 1mg modified-release tablets,Prednisone,1mg,Modified-release tablet,Oral,06030200,Glucocorticoid Therapy,Januar 2011
44803,1.78733E+16,25,98897020,Lodotra 2mg modified-release tablets (Napp Pharmaceuticals Ltd),Prednisone,2mg,Modified-release tablet,Oral,06030200,Glucocorticoid Therapy,MÃ¤rz 2011
45234,8.79261E+15,15,91780020,Dexamethasone 100microgram capsules,Dexamethasone,100microgram,Capsule,Oral,03020000/04065300/06030200,Corticosteroids (For Respiratory Conditions)/Products Used Against Nausea And Vertigo - Cytotoxic Chemotherapy/Glucocorticoid Therapy,Mai 2011
46711,1.78732E+16,168,98891020,Prednisone 2mg modified-release tablets,Prednisone,2mg,Modified-release tablet,Oral,06030200,Glucocorticoid Therapy,Januar 2012
50225,1.92809E+16,14,6564020,Betnesol 500microgram soluble tablets (Waymade Healthcare Plc),Betamethasone sodium phosphate,500microgram,Soluble tablet,Oral,06030200,Glucocorticoid Therapy,Januar 2013
51722,8.58161E+15,1593,20239020,Hydrocortisone 5mg/5ml oral suspension,Hydrocortisone,1mg/1ml,Oral suspension,Oral,06030200,Glucocorticoid Therapy,Januar 2013
51824,2.00935E+16,67,40205020,Hydrocortisone 5mg/5ml oral suspension sugar free,Hydrocortisone,1mg/1ml,Oral suspension,Oral,06030200,Glucocorticoid Therapy,Januar 2013
51849,1.25407E+16,7,32190020,Hydrocortisone 1mg/5ml oral suspension,Hydrocortisone,200microgram/1ml,Oral suspension,Oral,06030200,Glucocorticoid Therapy,Januar 2013
51871,1.54369E+16,4,36273020,Hydrocortisone 2mg capsules,Hydrocortisone,2mg,Capsule,Oral,06030200,Glucocorticoid Therapy,Januar 2013
51872,1.55336E+16,10,36388020,Hydrocortisone 2.5mg capsules,Hydrocortisone,2.5mg,Capsule,Oral,06030200,Glucocorticoid Therapy,Januar 2013
52053,1.25549E+16,2,32204020,Hydrocortisone 3mg/5ml oral suspension,Hydrocortisone,600microgram/1ml,Oral suspension,Oral,06030200,Glucocorticoid Therapy,Januar 2013
52396,8.42911E+15,6,19597020,Dexamethasone 1mg/5ml oral solution,Dexamethasone,200microgram/1ml,Oral solution,Oral,03020000/04065300/06030200,Corticosteroids (For Respiratory Conditions)/Products Used Against Nausea And Vertigo - Cytotoxic Chemotherapy/Glucocorticoid Therapy,Januar 2013
54432,1.78729E+16,10,98895020,Lodotra 1mg modified-release tablets (Napp Pharmaceuticals Ltd),Prednisone,1mg,Modified-release tablet,Oral,06030200,Glucocorticoid Therapy,April 2013
54793,1.17161E+16,8,29799020,Dexamethasone 2mg/5ml oral suspension,Dexamethasone,400microgram/1ml,Oral suspension,Oral,03020000/04065300/06030200,Corticosteroids (For Respiratory Conditions)/Products Used Against Nausea And Vertigo - Cytotoxic Chemotherapy/Glucocorticoid Therapy,April 2013
55401,3.28651E+15,1,6568020,Dexamethasone 500microgram tablets (A A H Pharmaceuticals Ltd),Dexamethasone,500microgram,Tablet,Oral,06030200/64090000,Glucocorticoid Therapy/Diagnostic Test Of Adrenocortical Insufficiency,Mai 2013
58474,2.19262E+16,1,47495020,Dexamethasone 2mg/5ml oral solution sugar free (A A H Pharmaceuticals Ltd),Dexamethasone sodium phosphate,400microgram/1ml,Oral solution,Oral,03020000/04065300/06030200,Corticosteroids (For Respiratory Conditions)/Products Used Against Nausea And Vertigo - Cytotoxic Chemotherapy/Glucocorticoid Therapy,Januar 2014
60064,2.43509E+16,472,23637021,Dexamethasone 10mg/5ml oral solution sugar free,Dexamethasone sodium phosphate,2mg/1ml,Oral solution,Oral,03020000/04065300/06030200,Corticosteroids (For Respiratory Conditions)/Products Used Against Nausea And Vertigo - Cytotoxic Chemotherapy/Glucocorticoid Therapy,Mai 2014
60120,3.29201E+15,3,6571020,Dexamethasone 2mg tablets (Alliance Healthcare (Distribution) Ltd),Dexamethasone,2mg,Tablet,Oral,06030200/64090000,Glucocorticoid Therapy/Diagnostic Test Of Adrenocortical Insufficiency,Juni 2014
62909,3.29031E+15,1,6570020,Dexamethasone 2mg tablets (A A H Pharmaceuticals Ltd),Dexamethasone,2mg,Tablet,Oral,06030200/64090000,Glucocorticoid Therapy/Diagnostic Test Of Adrenocortical Insufficiency,April 2015
63138,2.84228E+16,214,44830021,Hydrocortisone 5mg/5ml oral solution,Hydrocortisone,1mg/1ml,Oral solution,Oral,06030200,Glucocorticoid Therapy,Mai 2015
64050,1.97929E+16,1,766021,Martapan 2mg/5ml oral solution (Martindale Pharmaceuticals Ltd),Dexamethasone sodium phosphate,400microgram/1ml,Oral solution,Oral,03020000/04065300/06030200,Corticosteroids (For Respiratory Conditions)/Products Used Against Nausea And Vertigo - Cytotoxic Chemotherapy/Glucocorticoid Therapy,August 2015
64059,8.58131E+15,1,20233020,Hydrocortisone 2.5mg/5ml oral suspension,Hydrocortisone,500microgram/1ml,Oral suspension,Oral,06030200,Glucocorticoid Therapy,August 2015
64235,2.12325E+16,2,44411020,Betamethasone 500microgram soluble tablets sugar free (Alliance Healthcare (Distribution) Ltd),Betamethasone sodium phosphate,500microgram,Soluble tablet,Oral,06030200,Glucocorticoid Therapy,September 2015
64747,1.1716E+16,78,29797020,Dexamethasone 2mg/5ml oral solution,Dexamethasone,400microgram/1ml,Oral solution,Oral,03020000/04065300/06030200,Corticosteroids (For Respiratory Conditions)/Products Used Against Nausea And Vertigo - Cytotoxic Chemotherapy/Glucocorticoid Therapy,November 2015
64766,2.88813E+16,19,46623021,Dexamethasone 20mg/5ml oral solution sugar free,Dexamethasone sodium phosphate,4mg/1ml,Oral solution,Oral,03020000/04065300/06030200,Corticosteroids (For Respiratory Conditions)/Products Used Against Nausea And Vertigo - Cytotoxic Chemotherapy/Glucocorticoid Therapy,November 2015
66200,3.20718E+16,2206,62211021,Dexamethasone 2mg soluble tablets sugar free,Dexamethasone sodium phosphate,2mg,Soluble tablet,Oral,06030200/64090000,Glucocorticoid Therapy/Diagnostic Test Of Adrenocortical Insufficiency,Mai 2016
66524,3.20719E+16,628,62213021,Dexamethasone 4mg soluble tablets sugar free,Dexamethasone sodium phosphate,4mg,Soluble tablet,Oral,06030200/64090000,Glucocorticoid Therapy/Diagnostic Test Of Adrenocortical Insufficiency,Juni 2016
68103,3.24009E+16,1,65918021,Dexamethasone 2mg soluble tablets sugar free (A A H Pharmaceuticals Ltd),Dexamethasone sodium phosphate,2mg,Soluble tablet,Oral,06030200/64090000,Glucocorticoid Therapy/Diagnostic Test Of Adrenocortical Insufficiency,November 2016
68182,1.56287E+16,2,6573020,Dexamethasone 2mg tablets (Teva UK Ltd),Dexamethasone,2mg,Tablet,Oral,06030200/64090000,Glucocorticoid Therapy/Diagnostic Test Of Adrenocortical Insufficiency,November 2016
68306,2.11422E+16,1,44409020,Betamethasone 500microgram soluble tablets sugar free (RPH Pharmaceuticals AB),Betamethasone sodium phosphate,500microgram,Soluble tablet,Oral,06030200,Glucocorticoid Therapy,Dezember 2016
68489,376688006,2115,70674021,Dexamethasone 4mg tablets,Dexamethasone,4mg,Tablet,Oral,06030200,Glucocorticoid Therapy,Dezember 2016
69572,1.17165E+16,1,29807020,Dexamethasone 4mg/5ml oral suspension,Dexamethasone,800microgram/1ml,Oral suspension,Oral,03020000/04065300/06030200,Corticosteroids (For Respiratory Conditions)/Products Used Against Nausea And Vertigo - Cytotoxic Chemotherapy/Glucocorticoid Therapy,Mai 2017
70611,1.17162E+16,1,29801020,Dexamethasone 3mg/5ml oral solution,Dexamethasone,600microgram/1ml,Oral solution,Oral,03020000/04065300/06030200,Corticosteroids (For Respiratory Conditions)/Products Used Against Nausea And Vertigo - Cytotoxic Chemotherapy/Glucocorticoid Therapy,November 2017
71404,1.05284E+16,2,6576020,Dexamethasone 2mg/5ml oral solution sugar free (Waymade Healthcare Plc),Dexamethasone sodium phosphate,400microgram/1ml,Oral solution,Oral,03020000/04065300/06030200,Corticosteroids (For Respiratory Conditions)/Products Used Against Nausea And Vertigo - Cytotoxic Chemotherapy/Glucocorticoid Therapy,Januar 2018
71620,1.25638E+16,4,32224020,Hydrocortisone 7mg/5ml oral suspension,Hydrocortisone,1.4mg/1ml,Oral suspension,Oral,06030200,Glucocorticoid Therapy,Februar 2018
71926,1.17146E+16,2,29769020,Dexamethasone 1.25mg/5ml oral suspension,Dexamethasone,250microgram/1ml,Oral suspension,Oral,03020000/04065300/06030200,Corticosteroids (For Respiratory Conditions)/Products Used Against Nausea And Vertigo - Cytotoxic Chemotherapy/Glucocorticoid Therapy,April 2018
72537,1.17164E+16,2,29805020,Dexamethasone 4mg/5ml oral solution,Dexamethasone,800microgram/1ml,Oral solution,Oral,03020000/04065300/06030200,Corticosteroids (For Respiratory Conditions)/Products Used Against Nausea And Vertigo - Cytotoxic Chemotherapy/Glucocorticoid Therapy,Juli 2018
72848,3.47431E+16,19,78408021,Glensoludex 2mg soluble tablets (Glenmark Pharmaceuticals Europe Ltd),Dexamethasone sodium phosphate,2mg,Soluble tablet,Oral,06030200/64090000,Glucocorticoid Therapy/Diagnostic Test Of Adrenocortical Insufficiency,August 2018
74156,8.45211E+15,3,19683020,Dexamethasone 2.5mg/5ml oral solution,Dexamethasone,500microgram/1ml,Oral solution,Oral,03020000/04065300/06030200,Corticosteroids (For Respiratory Conditions)/Products Used Against Nausea And Vertigo - Cytotoxic Chemotherapy/Glucocorticoid Therapy,Dezember 2018
74157,8.45221E+15,2,19685020,Dexamethasone 2.5mg/5ml oral suspension,Dexamethasone,500microgram/1ml,Oral suspension,Oral,03020000/04065300/06030200,Corticosteroids (For Respiratory Conditions)/Products Used Against Nausea And Vertigo - Cytotoxic Chemotherapy/Glucocorticoid Therapy,Dezember 2018
74436,8.45231E+15,1,19687020,Dexamethasone 500micrograms/5ml oral suspension,Dexamethasone,100microgram/1ml,Oral suspension,Oral,03020000/04065300/06030200,Corticosteroids (For Respiratory Conditions)/Products Used Against Nausea And Vertigo - Cytotoxic Chemotherapy/Glucocorticoid Therapy,Januar 2019
74497,1.25636E+16,2,32220020,Hydrocortisone 7.5mg/5ml oral suspension,Hydrocortisone,1.5mg/1ml,Oral suspension,Oral,06030200,Glucocorticoid Therapy,Januar 2019
74502,3.57E+16,49,82216021,Alkindi 1mg granules in capsules for opening (Diurnal Ltd),Hydrocortisone,1mg,Granules,Oral,06030200,Glucocorticoid Therapy,Januar 2019
75019,3.57756E+16,11,82215021,Hydrocortisone 1mg granules in capsules for opening,Hydrocortisone,1mg,Granules,Oral,06030200,Glucocorticoid Therapy,Februar 2019
75065,3.57003E+16,41,82218021,Alkindi 2mg granules in capsules for opening (Diurnal Ltd),Hydrocortisone,2mg,Granules,Oral,06030200,Glucocorticoid Therapy,Februar 2019
75729,2.00923E+16,15,40206020,Hydrocortisone 5mg/5ml oral suspension sugar free (Special Order),Hydrocortisone,1mg/1ml,Oral suspension,Oral,06030200,Glucocorticoid Therapy,April 2019
76923,1.30054E+16,331,94900020,Methylprednisolone 1mg/5ml oral suspension,Methylprednisolone,200microgram/1ml,Oral suspension,Oral,06030200,Glucocorticoid Therapy,Juli 2019
77483,2.35909E+16,9,20227021,Dexamethasone 2mg/5ml oral solution sugar free (Waymade Healthcare Plc),Dexamethasone sodium phosphate,400microgram/1ml,Oral solution,Oral,03020000/04065300/06030200,Corticosteroids (For Respiratory Conditions)/Products Used Against Nausea And Vertigo - Cytotoxic Chemotherapy/Glucocorticoid Therapy,August 2019
77849,8.42901E+15,1,19595020,Dexamethasone 1mg/5ml oral suspension,Dexamethasone,200microgram/1ml,Oral suspension,Oral,03020000/04065300/06030200,Corticosteroids (For Respiratory Conditions)/Products Used Against Nausea And Vertigo - Cytotoxic Chemotherapy/Glucocorticoid Therapy,August 2019
78214,1.17163E+16,1,29803020,Dexamethasone 3mg/5ml oral suspension,Dexamethasone,600microgram/1ml,Oral suspension,Oral,03020000/04065300/06030200,Corticosteroids (For Respiratory Conditions)/Products Used Against Nausea And Vertigo - Cytotoxic Chemotherapy/Glucocorticoid Therapy,Oktober 2019
78307,1.97929E+16,1,38989020,Martapan 2mg/5ml oral solution (Martindale Pharmaceuticals Ltd),Dexamethasone sodium phosphate,400microgram/1ml,Oral solution,Oral,00000000,Unknown,November 2019
78335,1.17148E+16,1,29773020,Dexamethasone 1.5mg/5ml oral suspension,Dexamethasone,300microgram/1ml,Oral suspension,Oral,03020000/04065300/06030200,Corticosteroids (For Respiratory Conditions)/Products Used Against Nausea And Vertigo - Cytotoxic Chemotherapy/Glucocorticoid Therapy,November 2019
79684,3.47434E+16,1,78409021,Glensoludex 4mg soluble tablets (Glenmark Pharmaceuticals Europe Ltd),Dexamethasone sodium phosphate,4mg,Soluble tablet,Oral,06030200/64090000,Glucocorticoid Therapy/Diagnostic Test Of Adrenocortical Insufficiency,Januar 2020
38054,2.45935E+17,85,92567020,Hydrocortisone Tablet,Hydrocortisone,,Tablet,Oral,06030100/06030200,Replacement Corticosteroids For Endocrine Conditions/Glucocorticoid Therapy,01/02/2009
53207,2.51655E+17,0,95127020,Dexamethasone tablets,Dexamethasone,,,,06030200,Glucocorticoid Therapy,01/01/2013
